iter	Passed	Remaining
0	22	22872
1	43	21639
2	65	21816
3	89	22303
4	115	22899
5	134	22266
6	157	22386
7	181	22533
8	208	23003
9	233	23158
10	259	23309
11	282	23236
12	305	23181
13	326	23028
14	349	22982
15	365	22457
16	387	22413
17	410	22387
18	433	22375
19	455	22313
20	471	21975
21	493	21941
22	516	21927
23	539	21921
24	562	21933
25	585	21925
26	609	21967
27	631	21935
28	654	21910
29	676	21864
30	700	21887
31	722	21865
32	746	21881
33	772	21948
34	799	22052
35	824	22075
36	849	22119
37	873	22108
38	897	22126
39	923	22163
40	948	22196
41	973	22213
42	999	22249
43	1026	22302
44	1055	22410
45	1085	22513
46	1115	22614
47	1141	22638
48	1210	23493
49	1252	23795
50	1295	24111
51	1330	24250
52	1355	24226
53	1379	24168
54	1402	24090
55	1424	24008
56	1449	23977
57	1476	23981
58	1503	23977
59	1527	23924
60	1550	23866
61	1572	23788
62	1595	23729
63	1619	23688
64	1643	23643
65	1667	23593
66	1691	23548
67	1713	23486
68	1736	23432
69	1759	23377
70	1786	23369
71	1809	23319
72	1833	23279
73	1855	23219
74	1878	23167
75	1901	23117
76	1924	23067
77	1949	23044
78	1976	23038
79	2000	23001
80	2023	22959
81	2047	22919
82	2071	22887
83	2094	22840
84	2118	22799
85	2140	22746
86	2165	22721
87	2190	22701
88	2219	22720
89	2244	22696
90	2268	22658
91	2276	22469
92	2298	22419
93	2316	22330
94	2339	22291
95	2354	22176
96	2377	22134
97	2399	22081
98	2422	22043
99	2444	21996
100	2453	21839
101	2476	21802
102	2498	21761
103	2522	21731
104	2545	21697
105	2568	21663
106	2590	21623
107	2610	21564
108	2633	21525
109	2656	21492
110	2678	21455
111	2703	21433
112	2726	21398
113	2749	21369
114	2773	21341
115	2797	21317
116	2819	21279
117	2836	21198
118	2859	21168
119	2883	21143
120	2906	21116
121	2931	21097
122	2954	21064
123	2978	21045
124	3002	21014
125	3022	20963
126	3047	20947
127	3073	20940
128	3097	20914
129	3120	20883
130	3142	20846
131	3166	20821
132	3188	20788
133	3214	20773
134	3237	20743
135	3260	20716
136	3269	20594
137	3292	20567
138	3311	20511
139	3334	20483
140	3356	20448
141	3379	20421
142	3403	20396
143	3428	20379
144	3451	20349
145	3475	20327
146	3497	20293
147	3519	20261
148	3541	20228
149	3565	20203
150	3588	20173
151	3611	20149
152	3634	20123
153	3659	20102
154	3682	20076
155	3706	20053
156	3728	20021
157	3748	19973
158	3770	19945
159	3793	19914
160	3815	19883
161	3839	19863
162	3863	19837
163	3888	19823
164	3913	19802
165	3936	19779
166	3958	19745
167	3982	19721
168	4005	19695
169	4030	19677
170	4054	19656
171	4075	19617
172	4097	19589
173	4121	19565
174	4143	19532
175	4166	19507
176	4189	19478
177	4210	19445
178	4222	19369
179	4246	19343
180	4269	19319
181	4292	19290
182	4315	19267
183	4339	19243
184	4362	19218
185	4385	19191
186	4409	19170
187	4432	19144
188	4438	19044
189	4461	19018
190	4484	18995
191	4508	18974
192	4532	18950
193	4556	18930
194	4579	18907
195	4606	18895
196	4629	18870
197	4653	18848
198	4674	18817
199	4697	18791
200	4719	18761
201	4743	18737
202	4766	18713
203	4789	18689
204	4805	18634
205	4830	18617
206	4854	18595
207	4878	18576
208	4902	18554
209	4927	18535
210	4946	18497
211	4966	18459
212	4988	18431
